                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.081674,               0.046394,               0.045706,               0.065569,                0.63075,                0.11218,               0.069804,               0.026452,                0.63601,                0.11757,               0.080528,               0.046727,               0.063083,               0.023345,               0.034039,               0.060831,                0.07011,              0.0033211,              0.0033211
                      1,               0.061478,               0.025218,               0.035464,               0.054791,                0.59309,                0.14474,               0.092153,               0.032792,                0.59491,                0.15155,                0.10047,               0.057882,               0.060656,                0.02321,               0.034866,               0.053905,               0.040088,              0.0066325,              0.0066325
                      2,               0.058106,               0.025812,               0.033573,               0.047854,                0.75834,                0.18034,                0.16787,               0.075786,                0.75954,                0.18054,                0.17805,                 0.1111,               0.051271,               0.023156,               0.031497,               0.044842,               0.010044,              0.0099218,              0.0099218
                      3,               0.051781,               0.026444,               0.032212,               0.040637,                0.62546,                0.22836,                0.22911,                0.10808,                0.62503,                0.22947,                0.23218,                0.14726,               0.046565,                0.02573,               0.034253,                0.04185,               0.009901,               0.009901,               0.009901
                      4,               0.046502,               0.026308,               0.033275,               0.035307,                0.58219,                0.32469,                 0.3138,                 0.1672,                0.58874,                0.32723,                0.31407,                0.19329,               0.043429,               0.024402,               0.034372,               0.035934,               0.009901,               0.009901,               0.009901
                      5,               0.045369,               0.026155,               0.032967,               0.032276,                0.54149,                0.42256,                0.41128,                0.22657,                0.53303,                0.42081,                0.40883,                0.23859,               0.037523,               0.022158,                0.03205,               0.033019,               0.009868,               0.009868,               0.009868
                      6,               0.042802,               0.024831,               0.032806,               0.029156,                0.50502,                0.37866,                0.37318,                0.19311,                0.58621,                0.34036,                0.37663,                0.21559,               0.043989,                0.02633,               0.037418,               0.031686,               0.009835,               0.009835,               0.009835
                      7,               0.040774,                0.02443,               0.032009,               0.027558,                0.57856,                0.43356,                0.48063,                0.27067,                0.58667,                0.42282,                0.47308,                0.28556,               0.036703,               0.021771,               0.031167,               0.027512,               0.009802,               0.009802,               0.009802
                      8,               0.040911,               0.023474,               0.031322,               0.024469,                0.49097,                0.56877,                0.51549,                0.29253,                 0.4918,                0.52998,                0.49981,                0.29454,                0.03591,                0.02023,               0.030074,               0.023602,               0.009769,               0.009769,               0.009769
                      9,               0.038531,               0.022715,               0.029859,               0.023047,                0.53068,                0.62402,                0.56608,                0.33325,                0.52234,                0.61523,                0.55316,                0.33198,               0.034241,               0.020204,               0.029384,               0.022811,               0.009736,               0.009736,               0.009736
