                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.083254,               0.048382,               0.046351,                0.06716,                 0.6693,               0.078094,               0.052321,               0.022878,                0.66833,               0.077513,                0.05346,               0.032495,               0.059289,               0.020735,               0.034414,               0.061888,                0.07011,              0.0033211,              0.0033211
                      1,               0.062795,               0.027861,               0.037304,               0.055794,                0.43693,                0.17415,               0.095245,               0.042409,                0.44123,                0.17668,                0.10184,               0.060586,               0.053672,                0.02351,               0.029446,               0.056886,               0.040088,              0.0066325,              0.0066325
                      2,               0.058199,               0.026966,                0.03405,               0.050207,                0.56623,                0.18654,                0.15567,               0.062224,                0.49447,                0.20423,                0.17042,                0.10139,               0.051659,               0.021429,               0.029457,               0.049517,               0.010044,              0.0099218,              0.0099218
                      3,               0.052998,               0.028339,               0.034369,               0.043728,                0.69228,                0.17982,                0.20754,                0.10842,                0.69442,                0.18289,                0.21205,                0.13345,               0.044919,               0.026005,               0.032285,               0.045965,               0.009901,               0.009901,               0.009901
                      4,               0.048189,               0.027113,               0.034144,               0.037545,                0.33272,                0.32837,                0.25959,                0.12083,                0.34504,                0.33456,                0.27617,                0.17279,               0.046226,               0.023146,               0.031742,               0.038765,               0.009901,               0.009901,               0.009901
                      5,               0.045362,               0.026125,               0.033395,               0.034325,                0.48114,                0.36062,                0.33047,                0.16358,                0.47574,                0.36029,                0.33653,                0.20651,               0.041738,               0.021919,               0.029165,               0.034935,               0.009868,               0.009868,               0.009868
                      6,               0.043034,               0.025862,               0.033428,               0.031319,                0.55627,                0.43809,                 0.4099,                0.23746,                0.54895,                0.42158,                0.39664,                0.25259,               0.037111,               0.021526,               0.030122,               0.032099,               0.009835,               0.009835,               0.009835
                      7,               0.042089,               0.025327,               0.033282,               0.029569,                0.53392,                0.40967,                0.40427,                0.20797,                0.54276,                0.40993,                0.41284,                0.23632,                0.04384,               0.023755,               0.031863,               0.032394,               0.009802,               0.009802,               0.009802
                      8,                0.04134,               0.024324,               0.033282,                0.02702,                 0.6401,                0.45713,                 0.4791,                0.26111,                0.63919,                0.45419,                0.47704,                0.27907,               0.036123,               0.021144,               0.029001,               0.027243,               0.009769,               0.009769,               0.009769
                      9,               0.039818,               0.024353,               0.030778,               0.025146,                0.58495,                0.54318,                0.53429,                0.31564,                0.57651,                0.53229,                0.52291,                0.33007,               0.033731,               0.020086,                 0.0282,               0.026031,               0.009736,               0.009736,               0.009736
                     10,               0.039189,               0.023974,               0.031904,               0.023301,                0.56715,                0.54021,                0.53582,                0.30846,                0.57101,                0.53282,                0.53208,                0.32464,               0.035347,                 0.0204,               0.028114,                0.02379,               0.009703,               0.009703,               0.009703
                     11,                0.03859,               0.023671,               0.030783,               0.022147,                0.65059,                0.49646,                0.53011,                0.31539,                0.64705,                0.49089,                0.52592,                0.32688,               0.035444,               0.021372,               0.030083,               0.024921,                0.00967,                0.00967,                0.00967
                     12,               0.038118,               0.023359,               0.030671,               0.021583,                 0.6365,                0.59342,                0.61847,                 0.3656,                0.62762,                0.58756,                0.61062,                0.38895,               0.033356,               0.018867,               0.027891,               0.021834,               0.009637,               0.009637,               0.009637
                     13,                0.03716,               0.023266,               0.031132,                0.01943,                0.68316,                0.56492,                0.60689,                0.38095,                   0.69,                0.56302,                0.60755,                0.38636,               0.032011,               0.019612,                0.02764,               0.020834,               0.009604,               0.009604,               0.009604
                     14,               0.036922,                0.02267,               0.030436,               0.018988,                0.70331,                0.55491,                0.62017,                0.38559,                0.70756,                 0.5453,                0.61043,                 0.3888,               0.032446,               0.019639,               0.028337,               0.020627,               0.009571,               0.009571,               0.009571
                     15,               0.035821,                0.02232,               0.029368,               0.018313,                   0.71,                0.63186,                 0.6844,                0.44549,                0.70579,                 0.6231,                0.67115,                0.44292,               0.029709,               0.018454,               0.026627,                0.01771,               0.009538,               0.009538,               0.009538
                     16,               0.035632,               0.022253,               0.029603,               0.016962,                0.72271,                0.59917,                0.66115,                0.41808,                0.71451,                0.59213,                0.65253,                0.42004,               0.031952,                0.01869,               0.027122,               0.018446,               0.009505,               0.009505,               0.009505
                     17,               0.035034,               0.022133,               0.029321,               0.016704,                0.67713,                0.58275,                0.63802,                  0.391,                0.72113,                0.56169,                0.63537,                0.40191,                0.03118,               0.019383,                0.02726,               0.018401,               0.009472,               0.009472,               0.009472
                     18,               0.034232,               0.021352,               0.028545,               0.016757,                 0.7152,                0.60758,                0.67023,                0.42089,                0.71095,                0.60118,                0.66092,                0.43654,               0.031296,               0.018424,               0.026695,               0.017269,               0.009439,               0.009439,               0.009439
                     19,               0.033863,               0.021852,               0.028548,               0.015531,                0.74128,                0.60459,                0.70523,                0.44994,                0.73851,                0.59562,                0.69343,                0.46894,               0.029656,               0.018023,               0.026629,               0.017113,               0.009406,               0.009406,               0.009406
                     20,               0.034175,               0.021337,               0.028324,               0.014936,                0.73512,                0.63213,                0.68798,                 0.4468,                0.72515,                0.62053,                0.66811,                0.43383,               0.029221,               0.018336,               0.026108,               0.017187,               0.009373,               0.009373,               0.009373
                     21,               0.033625,               0.020902,               0.028505,               0.014162,                0.71878,                0.63746,                0.68964,                0.44267,                0.72191,                0.61519,                0.67833,                0.43389,               0.029902,               0.018042,               0.026759,               0.016598,                0.00934,                0.00934,                0.00934
                     22,               0.033277,               0.020712,               0.027853,               0.013584,                0.76434,                0.61622,                0.70248,                0.44379,                 0.7732,                0.59933,                0.69616,                0.46283,               0.029849,               0.018135,               0.025886,               0.016624,               0.009307,               0.009307,               0.009307
                     23,               0.032337,               0.021417,               0.028574,               0.013774,                0.76595,                0.61251,                0.68497,                0.44025,                0.75982,                0.60952,                0.67742,                0.43082,               0.029653,               0.019132,               0.025885,               0.015682,               0.009274,               0.009274,               0.009274
