                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.088519,               0.053428,               0.043835,               0.068359,                0.58077,               0.097092,               0.055104,               0.021419,                0.50024,                0.12268,               0.065171,               0.039792,               0.058698,               0.024529,               0.036189,               0.062702,                0.07011,              0.0033211,              0.0033211
                      1,               0.063478,               0.029263,               0.037305,               0.057749,                0.48504,                0.14775,               0.058203,               0.023265,                0.51432,                 0.1479,               0.068493,               0.036638,               0.063628,               0.027255,               0.033912,               0.057592,               0.040088,              0.0066325,              0.0066325
                      2,               0.059251,               0.028646,               0.035319,               0.053335,                0.51232,                 0.1744,                0.12537,               0.051239,                0.51237,                0.17561,                0.12787,               0.076569,               0.051099,               0.025751,               0.033456,               0.052939,               0.010044,              0.0099218,              0.0099218
                      3,               0.052251,               0.029329,               0.034366,               0.047886,                0.62176,                0.13572,                0.12855,               0.054499,                0.70004,                0.12731,                0.13421,               0.066679,               0.057182,               0.034926,               0.045461,               0.051187,               0.009901,               0.009901,               0.009901
                      4,               0.048497,               0.029206,               0.035426,               0.041707,                0.49454,                0.22848,                0.19004,               0.084547,                0.48846,                0.22469,                0.18788,                0.09652,               0.048124,               0.029485,               0.038856,               0.044717,               0.009901,               0.009901,               0.009901
                      5,                0.04637,               0.028896,                 0.0353,               0.038957,                0.77665,                0.21327,                0.25994,                 0.1397,                0.77462,                0.21256,                 0.2564,                0.14613,               0.039829,               0.024446,               0.032804,               0.039427,               0.009868,               0.009868,               0.009868
                      6,               0.044878,               0.027201,               0.034792,               0.035148,                0.41513,                0.33777,                0.31221,                 0.1553,                0.41548,                0.33459,                0.31097,                0.17639,               0.041088,               0.022952,               0.032279,                0.03567,               0.009835,               0.009835,               0.009835
                      7,               0.042945,               0.027003,               0.033957,               0.033688,                0.52469,                0.34832,                0.33915,                0.19276,                0.52695,                0.34955,                0.33899,                0.21319,               0.039907,               0.025607,               0.034924,               0.034661,               0.009802,               0.009802,               0.009802
                      8,               0.041586,               0.026364,               0.033672,               0.030348,                0.55804,                0.43717,                0.42892,                0.24129,                0.56767,                0.43861,                0.42922,                0.26739,               0.036068,               0.022105,               0.030962,               0.030398,               0.009769,               0.009769,               0.009769
                      9,               0.040893,               0.024757,                0.03138,               0.028407,                0.60797,                0.40603,                0.45329,                0.26767,                0.51737,                0.45901,                0.45508,                0.28857,               0.034655,               0.021215,               0.030696,               0.028163,               0.009736,               0.009736,               0.009736
