                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.099297,               0.078379,                0.04436,               0.074015,                 0.2994,               0.091969,                0.04519,               0.019141,                0.30131,               0.094698,               0.047107,               0.026868,               0.065488,               0.037018,               0.041083,               0.065626,                0.07011,              0.0033211,              0.0033211
                      1,               0.070557,               0.041183,               0.040295,               0.060552,                0.54936,                0.10457,               0.059059,               0.021482,                0.55353,                0.11103,               0.068756,               0.039668,               0.061802,               0.029953,               0.035585,               0.060832,               0.040088,              0.0066325,              0.0066325
                      2,               0.067122,               0.039658,               0.038381,               0.058095,                0.25253,                0.11255,               0.060522,               0.025392,                0.32101,                0.11156,               0.063104,               0.037444,               0.063178,               0.038784,               0.039787,               0.059325,               0.010044,              0.0099218,              0.0099218
                      3,               0.062274,               0.038445,                0.03896,               0.054102,                0.46677,                0.15265,                0.10244,               0.045263,                 0.4812,                0.16699,                 0.1144,               0.065243,               0.055285,               0.032629,               0.035775,               0.056001,               0.009901,               0.009901,               0.009901
                      4,                0.05705,               0.036743,               0.038787,               0.051207,                0.48477,                0.14818,                0.11486,               0.058516,                0.48522,                0.14887,                0.11746,               0.070595,               0.051772,               0.033676,               0.040312,               0.054488,               0.009901,               0.009901,               0.009901
                      5,                0.05456,                0.03582,               0.039653,               0.049744,                0.75217,                0.14837,                0.12986,               0.058791,                0.76284,                0.14902,                0.13673,               0.069389,               0.051203,               0.030268,               0.037093,                0.05155,               0.009868,               0.009868,               0.009868
                      6,               0.052295,               0.034814,               0.038749,               0.046627,                0.23941,                0.25256,                0.17029,               0.079685,                0.23427,                0.25005,                0.17051,               0.092991,               0.047429,                0.02832,               0.035649,               0.049537,               0.009835,               0.009835,               0.009835
                      7,               0.051689,               0.034002,               0.038548,               0.044071,                0.73245,                0.17416,                0.18839,               0.091338,                0.73589,                0.17453,                0.19048,                0.11308,               0.047544,               0.028907,               0.035667,               0.047024,               0.009802,               0.009802,               0.009802
                      8,                 0.0505,               0.033291,               0.038528,               0.041281,                0.27349,                0.26461,                0.20126,                0.10041,                 0.2717,                0.25944,                0.20135,                  0.115,               0.043716,               0.027192,               0.034807,               0.046145,               0.009769,               0.009769,               0.009769
                      9,               0.049038,               0.032387,               0.036853,               0.039854,                0.30439,                0.27822,                0.23466,                0.11886,                0.30179,                0.28905,                0.23602,                 0.1308,               0.043326,               0.025054,               0.032669,               0.042932,               0.009736,               0.009736,               0.009736
                     10,               0.048325,               0.032521,               0.036032,               0.038787,                0.38108,                0.29678,                0.26849,                0.13492,                0.38178,                0.29529,                 0.2661,                0.14352,               0.041755,                0.02578,               0.033931,               0.040743,               0.009703,               0.009703,               0.009703
                     11,               0.048192,               0.031708,               0.036499,               0.036878,                0.36803,                0.32869,                0.27109,                0.13966,                0.36538,                0.32521,                0.26697,                0.15007,                0.04216,               0.026768,               0.034019,               0.039715,                0.00967,                0.00967,                0.00967
                     12,                0.04704,               0.031814,               0.036016,               0.037138,                0.39145,                 0.3431,                0.31011,                0.16806,                0.38214,                0.33483,                0.30684,                0.18883,               0.042688,               0.026046,               0.033062,               0.039214,               0.009637,               0.009637,               0.009637
                     13,               0.046778,               0.031566,               0.036753,               0.034148,                 0.4003,                 0.3523,                0.31652,                0.16956,                 0.3982,                0.35235,                0.31531,                0.19649,                0.04017,               0.024654,               0.032234,               0.038119,               0.009604,               0.009604,               0.009604
                     14,               0.045897,                0.03125,               0.036441,               0.033234,                0.41437,                0.34318,                0.32552,                0.17373,                0.40473,                0.33558,                0.31776,                0.18497,               0.040765,               0.025764,               0.032853,               0.037385,               0.009571,               0.009571,               0.009571
                     15,               0.045369,               0.030167,               0.035892,               0.032383,                0.37277,                0.37917,                0.36002,                0.19497,                0.39058,                0.36789,                0.35328,                0.20786,                0.03881,               0.024832,               0.033579,               0.037362,               0.009538,               0.009538,               0.009538
                     16,               0.044621,               0.030127,               0.035522,               0.031386,                0.40729,                0.35738,                0.33207,                0.17705,                 0.4076,                0.35637,                0.33148,                 0.2037,               0.043089,               0.026598,               0.034547,                0.03746,               0.009505,               0.009505,               0.009505
                     17,               0.044699,               0.030515,               0.036368,               0.030442,                0.44805,                0.39953,                 0.3742,                0.19469,                0.46145,                0.39432,                0.38016,                0.22809,               0.039998,               0.024677,               0.032697,               0.034535,               0.009472,               0.009472,               0.009472
                     18,               0.043996,               0.029952,               0.034892,               0.029523,                0.55134,                0.38543,                0.39826,                0.21653,                0.55817,                0.39046,                0.40249,                 0.2459,               0.039746,               0.024587,               0.031747,               0.034239,               0.009439,               0.009439,               0.009439
                     19,               0.044216,               0.030385,               0.035424,                0.02869,                0.47269,                0.43606,                 0.4068,                0.22413,                0.46331,                0.43785,                 0.4053,                0.25414,                 0.0395,               0.024479,               0.031927,               0.033205,               0.009406,               0.009406,               0.009406
                     20,                0.04362,               0.029281,               0.035409,               0.028466,                 0.4715,                0.44182,                 0.4177,                0.22747,                0.47397,                  0.443,                0.41239,                0.24394,               0.038243,               0.024444,               0.031999,               0.032332,               0.009373,               0.009373,               0.009373
                     21,               0.043602,                0.02995,                0.03625,               0.027353,                0.52727,                0.45912,                0.44586,                0.25114,                0.54368,                0.45632,                0.44477,                0.26673,               0.037129,               0.023365,               0.031292,               0.031503,                0.00934,                0.00934,                0.00934
                     22,               0.043576,               0.029227,                0.03456,               0.025992,                0.55743,                 0.4587,                0.45243,                  0.245,                0.55585,                0.45819,                 0.4476,                0.25731,               0.038822,               0.024225,               0.031337,               0.030769,               0.009307,               0.009307,               0.009307
                     23,               0.042394,               0.029261,               0.034901,               0.026553,                0.52594,                0.48008,                0.47385,                  0.268,                 0.5369,                 0.4642,                0.46741,                0.28728,               0.036414,               0.023362,               0.031281,                0.02853,               0.009274,               0.009274,               0.009274
                     24,               0.042495,               0.028934,                 0.0336,                0.02564,                0.60602,                0.48938,                0.50796,                0.27616,                0.61396,                0.49289,                0.50511,                0.29864,               0.038392,               0.023439,               0.031338,               0.028636,               0.009241,               0.009241,               0.009241
                     25,               0.041816,               0.028649,               0.034378,               0.025023,                0.62866,                0.46999,                0.50724,                0.29284,                0.63013,                0.47244,                0.51163,                0.32225,               0.036785,               0.023318,               0.031152,               0.029123,               0.009208,               0.009208,               0.009208
                     26,                0.04243,               0.028222,               0.034075,                0.02462,                0.63324,                0.45928,                0.49462,                0.28308,                0.64709,                  0.461,                0.49959,                0.31181,               0.038086,               0.024748,               0.031979,                0.02868,               0.009175,               0.009175,               0.009175
                     27,               0.041984,               0.028281,               0.034156,               0.023705,                0.65895,                0.50002,                0.53019,                0.29228,                0.66065,                 0.5024,                0.53567,                0.32815,               0.037907,                0.02398,               0.031194,               0.028194,               0.009142,               0.009142,               0.009142
                     28,               0.041403,               0.029003,                0.03408,               0.023354,                0.61297,                0.53197,                0.53508,                0.30247,                 0.6131,                0.53164,                0.53616,                0.33312,                0.03673,               0.023073,               0.030594,               0.026962,               0.009109,               0.009109,               0.009109
                     29,               0.041295,               0.028684,               0.034181,               0.022647,                0.66518,                0.48425,                0.53756,                 0.3034,                0.67805,                 0.4817,                0.53554,                0.31852,               0.036351,               0.023784,               0.031293,               0.027959,               0.009076,               0.009076,               0.009076
                     30,               0.041183,               0.028311,               0.034995,               0.022796,                0.68415,                0.52186,                0.55568,                0.31641,                0.67073,                0.52439,                0.55494,                0.33078,                0.03607,               0.023218,               0.030901,                0.02623,               0.009043,               0.009043,               0.009043
                     31,               0.041147,               0.027728,               0.033191,                0.02228,                0.65854,                0.52953,                0.56551,                0.32348,                0.66099,                0.52855,                0.56383,                0.34919,               0.035557,               0.022816,               0.030456,               0.025285,                0.00901,                0.00901,                0.00901
                     32,               0.040873,               0.027781,               0.032676,               0.021463,                0.60571,                0.52215,                0.54387,                0.31176,                0.60519,                0.51899,                0.54034,                0.34234,                0.03627,               0.022945,               0.030585,               0.025972,               0.008977,               0.008977,               0.008977
                     33,               0.040464,               0.027638,               0.032885,               0.020655,                0.67703,                0.51513,                0.57079,                 0.3299,                0.68072,                0.51871,                0.56714,                0.35415,               0.035864,               0.022723,               0.030751,               0.025149,               0.008944,               0.008944,               0.008944
                     34,               0.040202,                0.02729,               0.032973,               0.020637,                0.66474,                0.52347,                0.56283,                0.32768,                0.68026,                0.52932,                0.56898,                0.35433,               0.035321,               0.022648,               0.031029,               0.023138,               0.008911,               0.008911,               0.008911
                     35,               0.040476,               0.027811,               0.032352,               0.020821,                0.63995,                0.53413,                0.55003,                0.30965,                0.63965,                0.53114,                0.54744,                0.34683,               0.036305,               0.023741,               0.030348,               0.027032,               0.008878,               0.008878,               0.008878
                     36,               0.040119,               0.027448,               0.033031,               0.020399,                0.66922,                0.51698,                0.56836,                0.33478,                0.66511,                0.51391,                0.56127,                0.34786,               0.034787,               0.022476,               0.030448,               0.024709,               0.008845,               0.008845,               0.008845
                     37,               0.039825,                0.02716,                0.03293,               0.019479,                0.64485,                0.56242,                0.57628,                0.33376,                0.64312,                0.55701,                0.57277,                0.34745,               0.034513,               0.022469,               0.030438,               0.024316,               0.008812,               0.008812,               0.008812
                     38,               0.039998,               0.027407,               0.033374,                0.01917,                0.71637,                0.55493,                0.59731,                0.34999,                0.72106,                0.55906,                0.60151,                 0.3676,               0.034015,               0.022476,               0.030323,               0.023675,               0.008779,               0.008779,               0.008779
                     39,               0.039866,               0.026937,               0.032938,               0.019311,                0.65805,                0.56136,                0.58233,                0.33382,                0.66055,                0.56004,                 0.5829,                0.35256,               0.035084,               0.022727,               0.030162,               0.025169,               0.008746,               0.008746,               0.008746
                     40,               0.039447,               0.027775,               0.033343,                0.01814,                0.67938,                0.56529,                0.59989,                0.35457,                0.68024,                0.55894,                0.59697,                0.38381,               0.034571,               0.022607,               0.030027,               0.021936,               0.008713,               0.008713,               0.008713
                     41,               0.039312,               0.027415,               0.032276,               0.018159,                0.66205,                0.55543,                0.58693,                0.33261,                 0.6665,                0.55906,                0.58858,                0.37606,               0.036019,               0.022582,               0.030567,               0.022386,                0.00868,                0.00868,                0.00868
                     42,                0.03874,               0.026473,                0.03285,               0.017804,                0.66056,                0.58921,                0.59439,                 0.3422,                0.65678,                0.58728,                0.59282,                0.35757,               0.034142,                0.02198,               0.030162,               0.023476,               0.008647,               0.008647,               0.008647
                     43,               0.038762,               0.026865,                0.03196,               0.018288,                0.73239,                0.55536,                0.63003,                0.36999,                0.73297,                0.55785,                0.63017,                0.39989,               0.034599,               0.022437,               0.030175,                0.02145,               0.008614,               0.008614,               0.008614
                     44,               0.038934,               0.026747,               0.032981,               0.017363,                0.72494,                0.55812,                0.62392,                0.36713,                0.72875,                0.56068,                0.61879,                 0.3796,               0.033961,               0.022063,                0.03001,               0.024282,               0.008581,               0.008581,               0.008581
