                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.094884,               0.066553,                0.04437,               0.069574,                0.22261,               0.096581,               0.038875,               0.014696,                0.22454,               0.097701,               0.044703,               0.023745,               0.067976,               0.030725,               0.037569,               0.063277,                0.07011,              0.0033211,              0.0033211
                      1,               0.067826,               0.034284,                0.03919,               0.057423,                0.37483,                0.11479,               0.065809,               0.026086,                0.37503,                0.10898,               0.067895,               0.039552,               0.060147,               0.034424,               0.039173,               0.058574,               0.040088,              0.0066325,              0.0066325
                      2,               0.063469,               0.033727,               0.038212,               0.053751,                0.40391,                0.10847,                0.06596,                0.02785,                0.40374,                0.10921,               0.069801,               0.035589,               0.068043,               0.042466,               0.049003,               0.057868,               0.010044,              0.0099218,              0.0099218
                      3,                0.05763,               0.034373,               0.036829,               0.050514,                0.26538,                0.10826,               0.073507,               0.034025,                0.26868,                0.10849,               0.078141,               0.039491,               0.064095,               0.043391,               0.050604,               0.056549,               0.009901,               0.009901,               0.009901
                      4,                0.05374,                0.03284,               0.037456,               0.044857,                0.72857,                0.16108,                0.18029,                0.07871,                0.73155,                0.16371,                0.18491,               0.093651,               0.048446,               0.027802,               0.036233,               0.045776,               0.009901,               0.009901,               0.009901
                      5,                0.05073,               0.032086,               0.037088,               0.041888,                0.61776,                0.18748,                0.19787,                0.10247,                0.61644,                0.18481,                0.19537,                0.11158,                0.04641,               0.032608,               0.039205,               0.044263,               0.009868,               0.009868,               0.009868
                      6,               0.048353,                0.03016,               0.036814,               0.038536,                0.82274,                 0.1952,                 0.2397,                0.10728,                0.83216,                0.19512,                0.24449,                0.13175,               0.046615,               0.026666,               0.034432,               0.038652,               0.009835,               0.009835,               0.009835
                      7,               0.046535,               0.029734,               0.035848,               0.037017,                0.33679,                0.26291,                0.23687,                0.12706,                0.27757,                0.26609,                0.23752,                0.14692,               0.043015,               0.028266,               0.037296,               0.040878,               0.009802,               0.009802,               0.009802
                      8,               0.045979,               0.029068,               0.035709,               0.034411,                0.51543,                0.31375,                0.29913,                0.15843,                 0.5129,                0.31474,                0.29876,                0.18155,               0.041154,               0.026671,                0.03591,               0.035571,               0.009769,               0.009769,               0.009769
                      9,               0.045085,               0.027873,               0.033631,               0.032368,                 0.5518,                0.36348,                0.35624,                0.18505,                0.55587,                0.36526,                0.35964,                0.22039,               0.040287,               0.025473,               0.034016,               0.036046,               0.009736,               0.009736,               0.009736
                     10,               0.044054,               0.028251,               0.033705,               0.030416,                0.55851,                0.41411,                  0.407,                0.21422,                0.55788,                0.41347,                0.40851,                0.26317,               0.039047,               0.023202,               0.032461,               0.029732,               0.009703,               0.009703,               0.009703
                     11,               0.042772,               0.026985,               0.033702,               0.028212,                0.64277,                0.35699,                0.39316,                0.21054,                0.63224,                0.37666,                0.39307,                0.22903,               0.039187,                0.02477,               0.034011,               0.030903,                0.00967,                0.00967,                0.00967
                     12,               0.042687,               0.027495,               0.033176,                0.02844,                0.65733,                0.37689,                0.41306,                0.22649,                0.67093,                0.36581,                0.41315,                0.25544,               0.038132,               0.023408,                0.03293,               0.028897,               0.009637,               0.009637,               0.009637
                     13,               0.041948,               0.027528,               0.033813,               0.026265,                0.55146,                0.41881,                0.44831,                0.24037,                0.54619,                0.43233,                0.44214,                 0.2624,               0.037604,               0.023616,               0.032808,               0.026904,               0.009604,               0.009604,               0.009604
