                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12133,               0.094085,               0.029797,               0.048315,              0.0012206,                0.13095,              0.0012071,             0.00030379,              0.0020857,                0.20341,              0.0023525,             0.00076249,                0.11103,               0.058017,               0.033973,               0.046481,                0.06721,             0.00033121,             0.00033121
                      1,                0.09941,               0.049096,               0.033839,                0.04271,                0.33252,               0.088199,               0.040503,               0.013774,                0.33648,               0.099814,               0.049544,               0.024533,               0.084051,               0.036632,               0.039911,                0.04153,               0.034208,             0.00066235,             0.00066235
                      2,               0.079573,               0.034961,               0.034122,               0.038154,                0.30608,                0.10265,                0.04527,               0.012246,                0.33941,                0.11845,               0.071731,               0.025886,               0.076636,               0.030219,               0.036898,               0.038572,              0.0012036,             0.00099129,             0.00099129
                      3,               0.067394,               0.029929,                0.03274,               0.035583,                0.35883,                0.26072,                0.10676,               0.040967,                0.36462,                0.27394,                0.11496,               0.070997,                0.05975,               0.025826,               0.035391,               0.037025,              0.0009901,              0.0009901,              0.0009901
                      4,               0.059194,               0.027954,               0.032233,               0.033918,                0.43199,                0.26094,                0.15114,               0.061309,                0.43446,                0.28053,                0.16601,                0.09853,               0.051461,               0.024059,               0.033769,               0.035954,              0.0009901,              0.0009901,              0.0009901
                      5,               0.053456,                0.02581,               0.028855,               0.032565,                0.48514,                0.27294,                0.20064,               0.090438,                 0.4851,                0.27516,                0.20812,                0.11902,                0.04742,               0.023254,               0.031618,               0.034628,              0.0009868,              0.0009868,              0.0009868
                      6,                0.05006,               0.025461,               0.027841,               0.031261,                0.51554,                0.31005,                0.24365,                 0.1205,                 0.5322,                0.31573,                0.25329,                0.15343,               0.043852,               0.022422,               0.030555,               0.032966,              0.0009835,              0.0009835,              0.0009835
                      7,               0.047339,               0.024526,               0.026686,               0.029313,                0.56492,                0.32768,                0.28438,                0.13929,                0.56677,                0.33457,                0.28345,                0.16871,               0.040544,               0.021951,               0.029935,               0.031384,              0.0009802,              0.0009802,              0.0009802
                      8,               0.045684,               0.024167,               0.026226,               0.028295,                0.61934,                0.35033,                0.33153,                0.17635,                0.62167,                0.34086,                0.33028,                 0.1998,               0.041035,               0.022217,               0.028753,               0.029668,              0.0009769,              0.0009769,              0.0009769
                      9,               0.044467,               0.023591,               0.025229,               0.026704,                0.61654,                0.37466,                 0.3436,                0.17803,                0.61539,                0.37444,                0.34649,                0.20987,               0.038812,               0.021619,               0.028491,               0.027815,              0.0009736,              0.0009736,              0.0009736
                     10,               0.042975,               0.023381,               0.025248,               0.023484,                0.65914,                0.40382,                0.38043,                0.20485,                0.65785,                0.39889,                 0.3783,                0.22559,                0.03792,               0.021272,                0.02761,               0.025531,              0.0009703,              0.0009703,              0.0009703
                     11,                0.04258,               0.022631,               0.023329,               0.022296,                 0.6648,                0.42382,                0.41483,                0.21965,                0.66533,                0.42426,                0.41002,                0.25737,               0.038578,                0.02212,               0.027524,               0.023084,               0.000967,               0.000967,               0.000967
                     12,               0.041149,               0.022308,               0.022976,               0.020368,                0.69587,                 0.4431,                0.43334,                0.24779,                0.68931,                0.43541,                0.43021,                0.26693,               0.036853,               0.021114,               0.026252,               0.020952,              0.0009637,              0.0009637,              0.0009637
                     13,               0.040633,               0.021275,               0.022603,               0.017966,                0.66305,                0.46347,                0.42395,                0.22738,                 0.6553,                0.45288,                0.41549,                0.24969,               0.037703,               0.020928,               0.025848,               0.019372,              0.0009604,              0.0009604,              0.0009604
                     14,               0.039968,               0.022127,               0.023029,                0.01719,                0.69923,                0.44659,                0.46563,                0.26793,                0.69005,                0.44103,                0.45788,                0.29016,               0.036873,               0.020997,               0.025904,               0.018286,              0.0009571,              0.0009571,              0.0009571
                     15,               0.039813,               0.021633,               0.022882,               0.015852,                0.73245,                 0.4544,                0.47676,                0.28185,                0.73893,                0.44707,                0.47772,                0.29797,               0.035772,               0.020497,               0.025591,                0.01741,              0.0009538,              0.0009538,              0.0009538
                     16,               0.038513,               0.021036,               0.021869,               0.014563,                0.72913,                0.49634,                0.49244,                0.28967,                0.73397,                0.48234,                0.49214,                0.30948,               0.033974,               0.020056,               0.025331,               0.016425,              0.0009505,              0.0009505,              0.0009505
                     17,               0.038156,               0.020666,               0.020928,               0.014217,                0.75068,                0.48714,                0.50666,                 0.2965,                0.74568,                0.47787,                0.49693,                   0.31,               0.034559,               0.020524,               0.025697,               0.015494,              0.0009472,              0.0009472,              0.0009472
                     18,               0.038054,               0.020958,               0.021115,               0.013006,                0.77114,                 0.4735,                0.54244,                0.33225,                 0.7676,                0.46573,                0.53476,                0.34747,               0.033118,               0.020354,               0.024821,               0.014729,              0.0009439,              0.0009439,              0.0009439
                     19,               0.037033,               0.020309,               0.020618,               0.012733,                0.75661,                0.49048,                0.55093,                0.32931,                0.75148,                0.48502,                0.54608,                0.35139,                0.03342,               0.020447,               0.024696,               0.014286,              0.0009406,              0.0009406,              0.0009406
                     20,               0.036541,               0.020698,               0.021493,               0.011925,                0.75648,                0.49917,                0.55473,                 0.3415,                0.74636,                0.50204,                0.55025,                0.35605,               0.032092,               0.019944,               0.024366,               0.013941,              0.0009373,              0.0009373,              0.0009373
                     21,               0.036348,                0.02015,               0.020208,               0.011909,                0.75538,                0.51449,                0.56913,                0.34537,                 0.7517,                0.51058,                0.56281,                0.35753,                0.03161,               0.019548,               0.024361,               0.013546,               0.000934,               0.000934,               0.000934
                     22,               0.036419,               0.020432,               0.020565,               0.011368,                0.77008,                0.49953,                0.57143,                0.34123,                0.76564,                 0.4975,                0.56543,                0.35193,               0.032284,                0.01942,               0.024179,               0.013294,              0.0009307,              0.0009307,              0.0009307
                     23,               0.035876,               0.020081,               0.020639,               0.010776,                0.76073,                0.51236,                0.56483,                0.34709,                0.76198,                0.51358,                0.56392,                0.36771,               0.032624,                0.02051,               0.024135,               0.013152,              0.0009274,              0.0009274,              0.0009274
                     24,               0.034954,               0.019569,               0.020043,               0.010499,                0.77206,                0.51164,                0.58892,                0.36804,                0.77108,                0.51151,                0.58652,                0.38333,                0.03174,               0.019741,               0.024208,               0.012871,              0.0009241,              0.0009241,              0.0009241
                     25,               0.035936,               0.019569,               0.019648,               0.010628,                0.77786,                 0.4975,                0.58095,                 0.3516,                0.77157,                0.48392,                0.57065,                0.35246,               0.031712,                0.01988,               0.024613,               0.012548,              0.0009208,              0.0009208,              0.0009208
                     26,               0.035259,               0.019999,               0.020129,                0.01016,                0.76901,                0.51067,                0.59529,                0.38248,                0.76298,                 0.5081,                0.59069,                0.38804,               0.030459,               0.019465,               0.024277,               0.012348,              0.0009175,              0.0009175,              0.0009175
                     27,               0.034304,               0.019539,               0.019019,              0.0099686,                0.76877,                0.52543,                0.60121,                0.37802,                0.76346,                0.52019,                0.59228,                0.37862,               0.031434,               0.019747,               0.024234,               0.011272,              0.0009142,              0.0009142,              0.0009142
                     28,               0.033965,               0.019683,               0.018785,              0.0093828,                0.64572,                0.65571,                0.61395,                0.38266,                0.64309,                0.65323,                0.60893,                0.39523,               0.031467,               0.019772,               0.023871,               0.011025,              0.0009109,              0.0009109,              0.0009109
                     29,               0.033889,               0.019185,                0.01858,              0.0090788,                0.65893,                0.63698,                0.61819,                0.39286,                0.65656,                0.63483,                0.61197,                0.39584,               0.030256,                0.01944,               0.024171,               0.010411,              0.0009076,              0.0009076,              0.0009076
                     30,               0.033884,               0.019637,               0.018473,              0.0086565,                0.62449,                0.65207,                 0.6314,                0.40307,                0.61987,                 0.6459,                0.62526,                0.41614,               0.030409,               0.019219,               0.023564,               0.010424,              0.0009043,              0.0009043,              0.0009043
                     31,               0.033272,               0.019543,               0.018851,              0.0085608,                0.68435,                0.62912,                0.65207,                 0.4189,                 0.6748,                0.62103,                0.64421,                0.40953,               0.029997,               0.019537,               0.023607,               0.010135,               0.000901,               0.000901,               0.000901
                     32,               0.033343,               0.019312,               0.018606,              0.0083259,                0.69483,                0.64648,                0.65302,                0.41175,                0.68834,                 0.6435,                0.64979,                0.41318,               0.030096,               0.019576,                0.02395,               0.010437,              0.0008977,              0.0008977,              0.0008977
                     33,                0.03289,               0.018928,               0.018567,               0.008067,                0.70061,                0.64429,                0.66799,                 0.4269,                0.69292,                0.63222,                0.65797,                0.43231,               0.029605,               0.019269,               0.023626,               0.010244,              0.0008944,              0.0008944,              0.0008944
                     34,                0.03309,               0.019039,               0.019779,              0.0077084,                0.71393,                  0.643,                0.66197,                0.39703,                0.70253,                0.63283,                0.65831,                0.41551,               0.030331,               0.019456,               0.023574,                0.01021,              0.0008911,              0.0008911,              0.0008911
                     35,               0.032574,                0.01869,               0.018348,              0.0075236,                 0.6403,                0.68493,                0.67969,                0.41919,                0.63152,                0.67242,                0.66775,                0.40674,               0.029949,               0.019488,               0.024729,               0.010195,              0.0008878,              0.0008878,              0.0008878
                     36,               0.032258,               0.018725,               0.018291,              0.0071114,                0.68327,                0.65558,                0.69583,                0.45641,                0.67527,                0.64568,                0.68507,                  0.451,               0.029362,               0.018941,               0.023762,              0.0095489,              0.0008845,              0.0008845,              0.0008845
                     37,               0.032009,               0.018354,               0.018506,              0.0071524,                0.70554,                0.66338,                0.70693,                0.46541,                0.69569,                0.65336,                0.69785,                0.44933,               0.029276,                0.01909,               0.023302,              0.0098757,              0.0008812,              0.0008812,              0.0008812
                     38,               0.031726,               0.018287,               0.018097,              0.0070522,                0.69387,                0.65786,                0.70487,                0.45431,                0.69395,                0.63919,                0.69557,                0.44041,               0.029866,               0.019222,               0.023126,              0.0090829,              0.0008779,              0.0008779,              0.0008779
