                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.081801,               0.046452,               0.046079,                      0,                0.45794,                0.49666,                0.47029,                0.21517,                0.46346,                0.50966,                0.48056,                0.29905,                0.06404,               0.023339,               0.037589,                      0,                0.07011,              0.0033211,              0.0033211
                      1,               0.059024,               0.025799,               0.038233,                      0,                0.53297,                 0.5696,                0.53906,                0.27264,                0.54537,                0.55919,                0.54282,                0.34312,               0.048977,               0.023047,               0.037645,                      0,               0.040088,              0.0066325,              0.0066325
                      2,               0.054015,               0.026403,               0.037059,                      0,                0.73085,                0.64067,                0.69111,                0.34877,                0.73487,                0.63963,                0.69353,                0.43526,               0.043072,                0.02514,               0.037034,                      0,               0.010044,              0.0099218,              0.0099218
                      3,               0.048461,               0.026967,                0.03581,                      0,                0.75937,                0.66245,                0.73493,                0.36189,                0.77448,                0.66421,                0.74557,                0.46353,               0.043321,               0.025816,               0.037202,                      0,               0.009901,               0.009901,               0.009901
                      4,               0.043683,               0.026477,               0.036795,                      0,                0.80406,                0.68739,                0.76531,                 0.4076,                0.81385,                0.69301,                 0.7701,                0.48087,               0.041771,               0.026472,               0.036475,                      0,               0.009901,               0.009901,               0.009901
                      5,               0.040727,               0.027066,               0.036527,                      0,                0.75051,                0.62592,                 0.6854,                0.37911,                0.75736,                0.61506,                0.67197,                0.36534,               0.039469,               0.029031,               0.041921,                      0,               0.009868,               0.009868,               0.009868
                      6,               0.040298,               0.026046,               0.036139,                      0,                0.76046,                0.71584,                0.75785,                0.36769,                0.77911,                0.69512,                 0.7554,                0.40978,               0.042634,               0.023553,               0.037114,                      0,               0.009835,               0.009835,               0.009835
                      7,               0.038406,                0.02487,               0.034796,                      0,                0.79787,                0.76607,                0.82578,                0.52238,                0.79914,                0.76677,                0.82324,                0.54249,               0.031119,               0.021329,               0.033563,                      0,               0.009802,               0.009802,               0.009802
                      8,               0.037008,                0.02453,               0.034307,                      0,                0.81917,                0.75448,                0.82541,                0.52754,                0.81289,                0.74429,                0.81232,                 0.5201,               0.030259,               0.020931,               0.033594,                      0,               0.009769,               0.009769,               0.009769
                      9,               0.036344,               0.024001,               0.033181,                      0,                0.81321,                0.76326,                0.82977,                0.50722,                0.81441,                0.75483,                0.82329,                0.54176,               0.033852,               0.021069,               0.034921,                      0,               0.009736,               0.009736,               0.009736
