                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.084289,               0.049869,               0.048356,                      0,                0.45298,                0.49372,                0.43406,                0.15768,                0.49886,                0.50251,                 0.4846,                0.23782,               0.065505,               0.022833,               0.033361,                      0,                0.07011,              0.0033211,              0.0033211
                      1,               0.060437,               0.028456,               0.039905,                      0,                0.44799,                0.54439,                0.43277,                0.15486,                0.55256,                 0.5603,                0.57455,                0.25564,               0.060941,               0.021862,               0.029079,                      0,               0.040088,              0.0066325,              0.0066325
                      2,               0.054994,               0.028219,                0.03922,                      0,                0.72693,                 0.5737,                0.63494,                0.33866,                0.73534,                0.57998,                  0.642,                0.42425,               0.046374,               0.027817,                0.03764,                      0,               0.010044,              0.0099218,              0.0099218
                      3,               0.048927,               0.028863,               0.038657,                      0,                 0.8042,                0.67424,                0.75856,                 0.4243,                0.81741,                0.66457,                0.75101,                0.46432,               0.040733,                0.02682,               0.032755,                      0,               0.009901,               0.009901,               0.009901
                      4,                0.04456,               0.027886,               0.038714,                      0,                0.80772,                0.74581,                0.81059,                0.46986,                0.80772,                0.74581,                0.80836,                0.51425,               0.037026,               0.021953,                0.03042,                      0,               0.009901,               0.009901,               0.009901
                      5,               0.043015,                0.02773,               0.037677,                      0,                0.79507,                0.70101,                0.76021,                0.43343,                0.79173,                 0.6964,                0.74891,                0.43175,               0.036423,               0.023922,               0.033432,                      0,               0.009868,               0.009868,               0.009868
                      6,               0.040808,               0.025899,               0.036849,                      0,                0.83803,                0.78518,                0.85346,                0.52809,                0.83523,                0.77692,                0.84577,                0.53028,               0.032875,               0.020974,               0.028587,                      0,               0.009835,               0.009835,               0.009835
                      7,               0.039354,               0.026328,               0.036261,                      0,                0.83837,                0.80444,                 0.8689,                0.56044,                0.83272,                0.80045,                0.86328,                0.55825,               0.030692,               0.019478,               0.027651,                      0,               0.009802,               0.009802,               0.009802
                      8,               0.037689,               0.026302,               0.036583,                      0,                0.82609,                0.76979,                0.84005,                0.52873,                0.82908,                0.76591,                0.83748,                0.55567,               0.032768,                0.02066,               0.029749,                      0,               0.009769,               0.009769,               0.009769
                      9,               0.036767,               0.025288,               0.033851,                      0,                0.83043,                0.80186,                0.86272,                0.56178,                0.83585,                0.80815,                0.86442,                0.57767,               0.029887,               0.019909,               0.028277,                      0,               0.009736,               0.009736,               0.009736
                     10,               0.036368,               0.024657,               0.034321,                      0,                0.85449,                0.76968,                0.85685,                0.55922,                0.85807,                0.77472,                 0.8566,                0.57119,               0.030037,               0.020785,               0.028668,                      0,               0.009703,               0.009703,               0.009703
                     11,               0.035294,               0.024499,               0.034253,                      0,                 0.8611,                 0.7902,                 0.8759,                 0.5877,                0.86338,                0.79229,                0.87443,                0.59677,               0.027913,               0.018904,                0.02723,                      0,                0.00967,                0.00967,                0.00967
                     12,               0.034691,               0.024064,               0.034064,                      0,                0.85541,                0.78289,                0.86439,                0.57138,                0.85267,                0.78038,                0.85768,                0.55267,               0.029298,               0.019564,               0.027818,                      0,               0.009637,               0.009637,               0.009637
                     13,               0.034684,               0.024396,               0.033739,                      0,                0.85467,                0.77576,                 0.8555,                0.55774,                0.86327,                0.76759,                0.84991,                0.54612,               0.030885,               0.020838,               0.028454,                      0,               0.009604,               0.009604,               0.009604
                     14,               0.034255,               0.023911,               0.034107,                      0,                0.83022,                  0.772,                0.84057,                0.56529,                0.83104,                0.76621,                 0.8338,                0.55112,                0.02954,               0.020718,               0.030175,                      0,               0.009571,               0.009571,               0.009571
                     15,               0.033014,                 0.0227,               0.033433,                      0,                0.85027,                0.79898,                0.86913,                0.58252,                0.85048,                0.79439,                0.86247,                0.56442,               0.028778,               0.019132,               0.027604,                      0,               0.009538,               0.009538,               0.009538
                     16,               0.031909,               0.022664,               0.030648,                      0,                0.85127,                0.80067,                0.87491,                0.58608,                0.84985,                0.80151,                0.87378,                0.60728,               0.027848,               0.018306,               0.027376,                      0,               0.009505,               0.009505,               0.009505
                     17,               0.032463,               0.022968,               0.032549,                      0,                0.87799,                0.80235,                0.89506,                0.61564,                0.87668,                0.80077,                0.88942,                0.58763,                0.02669,               0.018514,               0.026517,                      0,               0.009472,               0.009472,               0.009472
                     18,               0.031863,               0.022719,               0.031936,                      0,                0.85127,                 0.8197,                0.89221,                0.61924,                0.85009,                0.81784,                 0.8857,                0.58834,               0.026786,               0.018496,               0.026211,                      0,               0.009439,               0.009439,               0.009439
                     19,               0.031332,               0.023098,               0.032028,                      0,                0.87064,                0.80821,                0.88951,                0.62471,                0.86637,                0.80637,                0.88031,                0.60221,               0.025794,               0.018223,               0.026215,                      0,               0.009406,               0.009406,               0.009406
                     20,               0.031211,               0.022401,               0.031567,                      0,                0.86124,                0.80832,                0.89073,                0.61171,                0.86217,                0.81114,                0.88839,                0.61248,               0.026673,               0.017985,               0.026437,                      0,               0.009373,               0.009373,               0.009373
                     21,               0.031134,               0.022386,                0.03139,                      0,                0.86093,                0.82179,                0.89653,                0.62676,                0.86117,                0.81323,                0.88796,                0.60148,               0.025524,               0.017784,               0.025744,                      0,                0.00934,                0.00934,                0.00934
                     22,               0.030633,               0.021865,               0.031344,                      0,                0.85739,                0.83501,                0.89573,                0.62401,                0.86822,                0.82496,                0.89013,                 0.6301,               0.026036,               0.017782,               0.026176,                      0,               0.009307,               0.009307,               0.009307
                     23,               0.030054,               0.021398,               0.031245,                      0,                0.86537,                0.83291,                 0.9011,                0.63133,                0.86546,                0.83291,                0.90114,                0.63922,               0.026235,               0.017788,               0.025577,                      0,               0.009274,               0.009274,               0.009274
