                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.089035,               0.052029,               0.047412,                      0,                0.53999,                0.53266,                0.51174,                0.21718,                 0.5523,                0.54481,                0.53836,                0.32322,               0.058802,               0.024227,               0.034961,                      0,                0.07011,              0.0033211,              0.0033211
                      1,               0.061701,               0.031048,               0.041442,                      0,                0.49175,                0.54983,                0.48882,                0.17768,                0.51559,                0.55528,                0.53173,                0.26806,               0.052528,               0.026025,               0.034365,                      0,               0.040088,              0.0066325,              0.0066325
                      2,               0.056244,               0.030373,               0.040389,                      0,                0.52744,                0.55235,                0.51793,                0.24791,                0.53664,                0.55905,                0.52667,                0.30954,               0.052183,               0.026246,               0.035487,                      0,               0.010044,              0.0099218,              0.0099218
                      3,               0.050376,               0.030215,               0.039351,                      0,                0.79299,                0.69891,                0.77685,                0.41784,                0.79677,                0.70561,                0.78551,                0.51623,               0.041147,               0.023124,                  0.032,                      0,               0.009901,               0.009901,               0.009901
                      4,               0.045124,               0.029081,               0.039076,                      0,                0.81254,                0.74079,                 0.8051,                0.46167,                0.81488,                0.74539,                 0.8063,                0.50705,               0.037387,               0.023365,               0.031177,                      0,               0.009901,               0.009901,               0.009901
                      5,               0.043255,               0.029295,               0.038839,                      0,                0.81667,                0.74707,                 0.8263,                0.48866,                0.83902,                0.73991,                0.82748,                0.54105,               0.034859,               0.023248,               0.031181,                      0,               0.009868,               0.009868,               0.009868
                      6,               0.041582,               0.027578,               0.038132,                      0,                0.83887,                0.72152,                0.80511,                0.50146,                0.84662,                0.72069,                 0.8045,                0.50596,               0.033443,               0.024371,               0.032077,                      0,               0.009835,               0.009835,               0.009835
                      7,               0.039971,                0.02776,               0.037451,                      0,                0.84839,                0.76717,                0.84796,                0.51142,                 0.8524,                0.77145,                0.85187,                0.56672,               0.033903,               0.021265,               0.028834,                      0,               0.009802,               0.009802,               0.009802
                      8,               0.039538,               0.027656,               0.037438,                      0,                0.82244,                0.77345,                0.83828,                0.51678,                0.83807,                0.76047,                0.83877,                 0.5465,               0.032877,               0.021255,               0.029716,                      0,               0.009769,               0.009769,               0.009769
                      9,               0.037503,                0.02631,               0.034728,                      0,                0.82844,                0.71231,                0.78977,                0.50272,                0.83145,                0.70857,                0.78744,                0.49389,               0.033466,               0.023071,               0.031783,                      0,               0.009736,               0.009736,               0.009736
                     10,               0.037218,               0.025814,               0.035384,                      0,                0.81198,                0.73062,                0.79681,                0.49507,                  0.824,                0.70603,                0.78349,                0.49002,               0.033306,               0.021806,               0.032031,                      0,               0.009703,               0.009703,               0.009703
                     11,               0.036178,               0.026109,               0.035365,                      0,                0.85271,                0.78015,                0.85808,                0.56382,                0.85177,                0.77429,                0.85327,                0.57317,                0.03032,                0.02017,               0.028334,                      0,                0.00967,                0.00967,                0.00967
                     12,               0.035834,               0.025515,               0.035331,                      0,                0.83895,                0.79062,                0.86885,                0.54558,                0.84619,                0.78601,                0.86169,                0.53647,               0.031142,               0.019892,                0.02828,                      0,               0.009637,               0.009637,               0.009637
