                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.099525,               0.073804,               0.044841,                      0,                0.41223,                0.43593,                0.35363,                 0.1426,                0.42213,                 0.4464,                0.37461,                0.20542,               0.066745,                0.03417,                0.03973,                      0,                0.07011,              0.0033211,              0.0033211
                      1,               0.071358,               0.042583,                 0.0453,                      0,                0.37205,                0.41857,                0.29285,               0.087061,                0.50806,                0.42588,                0.40337,                0.16163,               0.069378,               0.035755,               0.036597,                      0,               0.040088,              0.0066325,              0.0066325
                      2,               0.066229,               0.041026,               0.045501,                      0,                0.49723,                0.57077,                0.47445,                0.17466,                0.53099,                0.57831,                0.50555,                0.24717,               0.055838,                0.03041,               0.041159,                      0,               0.010044,              0.0099218,              0.0099218
                      3,               0.059886,               0.039547,               0.044862,                      0,                0.64443,                0.54062,                0.55134,                0.21221,                0.65597,                 0.5624,                0.57784,                0.26745,               0.055036,               0.033872,               0.037971,                      0,               0.009901,               0.009901,               0.009901
                      4,               0.055227,               0.038403,               0.045324,                      0,                0.72837,                0.63023,                0.68002,                0.29431,                0.74423,                 0.6294,                0.68401,                 0.3675,               0.046478,               0.029628,               0.035791,                      0,               0.009901,               0.009901,               0.009901
                      5,                0.05251,               0.037299,               0.044009,                      0,                0.77335,                  0.683,                 0.7393,                0.37742,                0.77335,                  0.683,                0.73596,                0.41737,               0.041789,               0.027244,               0.034913,                      0,               0.009868,               0.009868,               0.009868
                      6,               0.050212,               0.035742,               0.044044,                      0,                0.78941,                0.64866,                0.72999,                0.32021,                 0.8081,                0.65787,                0.74381,                0.39005,               0.045398,               0.028081,               0.034739,                      0,               0.009835,               0.009835,               0.009835
                      7,               0.049088,               0.035535,               0.043052,                      0,                0.80511,                0.71357,                0.79112,                0.43353,                0.80558,                0.71399,                 0.7882,                0.46879,               0.038538,                0.02613,               0.032952,                      0,               0.009802,               0.009802,               0.009802
                      8,                0.04802,               0.034951,               0.043252,                      0,                0.79213,                0.69895,                0.77268,                0.43421,                 0.7931,                0.69347,                 0.7649,                0.44805,                0.03817,               0.026224,               0.034887,                      0,               0.009769,               0.009769,               0.009769
                      9,               0.046746,               0.033975,               0.040172,                      0,                0.81085,                0.71608,                0.79467,                0.44684,                0.80848,                0.71399,                0.78959,                 0.4749,               0.037558,               0.024604,               0.033555,                      0,               0.009736,               0.009736,               0.009736
                     10,               0.045502,               0.033289,                0.04142,                      0,                  0.792,                0.74246,                0.79873,                 0.4229,                0.79407,                0.74279,                0.79619,                0.46015,               0.039391,               0.025737,               0.034013,                      0,               0.009703,               0.009703,               0.009703
