                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.095827,               0.068498,               0.047359,                      0,                0.46408,                0.48032,                0.41931,                0.14453,                0.49997,                0.48727,                0.45693,                0.25429,               0.060553,               0.028748,               0.040585,                      0,                0.07011,              0.0033211,              0.0033211
                      1,               0.066912,               0.036183,               0.043626,                      0,                0.44377,                0.52142,                0.40037,                0.17122,                0.45758,                0.51595,                0.43126,                0.25059,                0.05679,               0.028089,               0.036157,                      0,               0.040088,              0.0066325,              0.0066325
                      2,                0.06153,               0.035404,                0.04224,                      0,                0.49134,                0.50487,                0.45672,                 0.1898,                0.51197,                0.52217,                0.48025,                0.26891,               0.056557,                0.02981,               0.037806,                      0,               0.010044,              0.0099218,              0.0099218
                      3,                0.05576,               0.035618,                0.04235,                      0,                0.74009,                0.53109,                0.59638,                0.29306,                0.74328,                0.53109,                0.59152,                0.33275,                0.04901,                0.03368,               0.042427,                      0,               0.009901,               0.009901,               0.009901
                      4,               0.051087,               0.033903,               0.041792,                      0,                0.68223,                 0.5206,                0.55902,                0.24901,                0.68335,                0.51873,                0.56439,                0.31287,               0.050457,               0.030469,               0.043681,                      0,               0.009901,               0.009901,               0.009901
                      5,               0.047845,               0.032253,                0.04076,                      0,                0.77992,                0.68989,                0.75186,                0.36132,                0.78636,                0.69026,                0.75311,                0.44956,               0.042125,               0.026971,               0.037479,                      0,               0.009868,               0.009868,               0.009868
                      6,               0.046177,               0.031697,                0.04078,                      0,                0.81318,                 0.5809,                0.66215,                0.37877,                0.79441,                0.57753,                0.65319,                0.40734,               0.042463,               0.027821,               0.041462,                      0,               0.009835,               0.009835,               0.009835
                      7,               0.044374,                0.03084,               0.040642,                      0,                0.79335,                0.69663,                0.77312,                0.44948,                0.79781,                0.69363,                0.76646,                0.45843,               0.037988,               0.024502,                0.03454,                      0,               0.009802,               0.009802,               0.009802
                      8,               0.043675,               0.029899,               0.040134,                      0,                 0.8044,                0.72236,                0.78619,                0.41414,                0.80189,                 0.7034,                0.76816,                0.43148,               0.039779,               0.025705,               0.034469,                      0,               0.009769,               0.009769,               0.009769
                      9,               0.041448,               0.029342,                0.03719,                      0,                0.80361,                0.72247,                0.80018,                0.48534,                0.79791,                0.70187,                 0.7807,                0.48107,               0.035378,               0.024624,               0.033259,                      0,               0.009736,               0.009736,               0.009736
                     10,               0.041202,                0.02889,               0.037689,                      0,                0.80608,                0.76752,                0.82239,                0.49257,                0.79874,                 0.7573,                0.80818,                0.49582,               0.034747,               0.022242,               0.032217,                      0,               0.009703,               0.009703,               0.009703
                     11,               0.040405,               0.028761,               0.037404,                      0,                0.80908,                0.73221,                 0.8042,                0.48333,                0.80122,                0.71707,                0.79011,                0.47955,               0.035245,               0.023401,               0.032936,                      0,                0.00967,                0.00967,                0.00967
                     12,               0.039455,               0.028039,               0.037029,                      0,                 0.8087,                0.72697,                0.79779,                0.48089,                0.80482,                0.72135,                0.79126,                0.50748,               0.035016,               0.022798,               0.033517,                      0,               0.009637,               0.009637,               0.009637
                     13,               0.039379,               0.028019,               0.037525,                      0,                0.83338,                0.72996,                0.80759,                 0.4826,                0.83562,                0.72397,                0.80135,                0.50827,               0.034607,               0.024022,               0.033706,                      0,               0.009604,               0.009604,               0.009604
                     14,               0.038017,               0.027403,               0.036833,                      0,                0.81836,                0.72734,                0.80553,                0.48281,                0.79849,                0.71089,                0.78356,                0.47411,               0.034121,               0.022409,               0.033554,                      0,               0.009571,               0.009571,               0.009571
                     15,               0.037622,               0.027199,               0.035902,                      0,                 0.8132,                0.77378,                0.83473,                 0.5157,                0.80913,                0.76067,                0.82381,                0.54156,               0.032919,               0.021236,               0.031996,                      0,               0.009538,               0.009538,               0.009538
                     16,               0.037717,               0.026829,               0.035877,                      0,                0.81714,                0.75169,                0.82322,                0.51673,                0.81053,                0.74232,                0.80746,                 0.5078,                0.03176,               0.021724,               0.031834,                      0,               0.009505,               0.009505,               0.009505
                     17,               0.037479,               0.026473,               0.035253,                      0,                0.83095,                0.78652,                0.84898,                0.54237,                0.82422,                0.77828,                0.83735,                0.52476,               0.031341,               0.020959,               0.030957,                      0,               0.009472,               0.009472,               0.009472
                     18,               0.036195,               0.025871,                0.03434,                      0,                0.82309,                0.73633,                   0.81,                0.49218,                0.82005,                0.73184,                 0.8012,                0.51867,               0.034108,               0.022194,               0.032313,                      0,               0.009439,               0.009439,               0.009439
                     19,               0.036257,               0.026174,               0.034909,                      0,                0.82436,                0.77698,                0.84332,                0.52869,                0.81647,                0.76646,                0.82944,                 0.5181,               0.031842,               0.020627,               0.030833,                      0,               0.009406,               0.009406,               0.009406
                     20,               0.035745,               0.026329,               0.034477,                      0,                0.82465,                0.77416,                 0.8476,                0.54035,                0.81793,                0.76722,                0.83686,                0.54838,               0.031249,               0.021263,               0.030618,                      0,               0.009373,               0.009373,               0.009373
                     21,                0.03565,               0.026058,               0.034896,                      0,                0.84276,                0.77885,                0.85007,                 0.5453,                0.83455,                0.76554,                0.83337,                0.53626,                0.03078,               0.020176,               0.030246,                      0,                0.00934,                0.00934,                0.00934
                     22,               0.035236,               0.025262,               0.033953,                      0,                0.83251,                0.79888,                0.85573,                0.53973,                0.83031,                0.78539,                0.84309,                0.56659,               0.030553,               0.019966,               0.030157,                      0,               0.009307,               0.009307,               0.009307
                     23,               0.034548,               0.025169,               0.034333,                      0,                0.83093,                0.78502,                0.85477,                0.56351,                0.82149,                0.77079,                0.83783,                0.53498,               0.029724,               0.020039,               0.029934,                      0,               0.009274,               0.009274,               0.009274
                     24,                0.03436,               0.025007,               0.033678,                      0,                0.84441,                 0.7785,                0.85508,                 0.5408,                0.83994,                0.77438,                0.84575,                0.56622,               0.030913,               0.020199,               0.030009,                      0,               0.009241,               0.009241,               0.009241
                     25,               0.034405,               0.024784,               0.034026,                      0,                0.82521,                 0.8015,                0.85857,                0.55706,                0.82958,                 0.7824,                0.84671,                 0.5468,               0.030087,               0.019732,               0.029843,                      0,               0.009208,               0.009208,               0.009208
                     26,               0.033896,                 0.0244,               0.033303,                      0,                0.83303,                0.79813,                0.85877,                0.56008,                0.83837,                0.77753,                0.84252,                0.55047,               0.029683,               0.019698,               0.029544,                      0,               0.009175,               0.009175,               0.009175
                     27,               0.033708,               0.024856,               0.034256,                      0,                0.84937,                 0.7794,                0.85317,                0.54887,                 0.8458,                0.77453,                0.84373,                0.55435,               0.029849,               0.020116,               0.030053,                      0,               0.009142,               0.009142,               0.009142
                     28,               0.033184,                0.02424,                0.03328,                      0,                0.84616,                0.79311,                0.86166,                0.56638,                0.84036,                0.78165,                0.85292,                0.55108,               0.029293,               0.019841,               0.029692,                      0,               0.009109,               0.009109,               0.009109
                     29,               0.033439,               0.024339,               0.033397,                      0,                0.84764,                0.79177,                0.86335,                0.57525,                0.84652,                0.78464,                0.85224,                0.55819,               0.028818,               0.019468,               0.029193,                      0,               0.009076,               0.009076,               0.009076
                     30,               0.032941,               0.024196,               0.033573,                      0,                0.84137,                0.79476,                0.86524,                0.58003,                 0.8383,                0.78614,                0.85238,                0.55425,               0.028396,               0.019596,               0.029391,                      0,               0.009043,               0.009043,               0.009043
