               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11605,             0.10245,                   0,           0.0019753,            0.045584,           0.0010842,          0.00027412,             0.10909,              0.0727,                   0,            0.071107,           0.0001073,           0.0001073
                   1,             0.11412,            0.098001,                   0,            0.002716,            0.062678,           0.0016498,          0.00040541,             0.10508,            0.073083,                   0,            0.041217,          0.00021732,          0.00021732
                   2,             0.10992,            0.091251,                   0,           0.0050617,             0.11681,           0.0038008,          0.00083708,             0.10229,            0.074474,                   0,            0.011326,          0.00032634,          0.00032634
                   3,             0.10837,            0.099668,                   0,           0.0071605,             0.16524,            0.010503,           0.0025665,            0.099454,            0.075233,                   0,            0.000365,            0.000365,            0.000365
                   4,             0.10644,             0.10267,                   0,            0.014568,             0.33618,            0.028144,           0.0071005,             0.09608,            0.075517,                   0,            0.000365,            0.000365,            0.000365
                   5,             0.10325,            0.099787,                   0,             0.11202,             0.17094,             0.05176,            0.011269,            0.091988,            0.075312,                   0,          0.00036334,          0.00036334,          0.00036334
                   6,             0.10022,            0.094654,                   0,             0.11867,             0.17094,            0.063138,            0.014419,            0.088694,            0.077044,                   0,          0.00036167,          0.00036167,          0.00036167
                   7,            0.097164,            0.095604,                   0,             0.13946,             0.18519,            0.080487,            0.017606,            0.084396,            0.082253,                   0,          0.00036001,          0.00036001,          0.00036001
                   8,            0.093084,            0.090913,                   0,             0.13841,              0.2849,             0.09991,            0.024009,            0.079847,            0.080951,                   0,          0.00035834,          0.00035834,          0.00035834
                   9,            0.090847,            0.082612,                   0,             0.17074,             0.40456,             0.12808,            0.034147,            0.075586,            0.075503,                   0,          0.00035668,          0.00035668,          0.00035668
                  10,            0.087662,            0.085379,                   0,             0.23192,             0.39316,              0.1991,            0.053182,            0.072994,            0.073695,                   0,          0.00035501,          0.00035501,          0.00035501
                  11,            0.084647,            0.086292,                   0,             0.29904,             0.42735,             0.24773,            0.067367,            0.070434,            0.073961,                   0,          0.00035335,          0.00035335,          0.00035335
                  12,            0.082062,            0.089784,                   0,             0.35187,             0.43308,             0.29935,            0.083895,            0.067956,            0.071576,                   0,          0.00035168,          0.00035168,          0.00035168
                  13,            0.078568,            0.081907,                   0,              0.3904,             0.44444,             0.34107,             0.10172,            0.065659,             0.06811,                   0,          0.00035002,          0.00035002,          0.00035002
                  14,            0.079049,             0.08363,                   0,             0.39079,             0.44444,             0.32264,            0.095564,            0.064055,            0.067139,                   0,          0.00034836,          0.00034836,          0.00034836
