               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1083,            0.068403,                   0,           0.0010435,            0.041909,          0.00054678,          0.00012275,            0.085326,             0.10102,                   0,            0.067371,          0.00032959,          0.00032959
                   1,             0.10279,            0.059277,                   0,           0.0018551,            0.074505,           0.0011773,          0.00028389,            0.080916,             0.10763,                   0,            0.034368,          0.00065964,          0.00065964
                   2,            0.096636,            0.056066,                   0,            0.012377,             0.49709,             0.03116,           0.0070472,            0.074102,             0.10804,                   0,           0.0013609,          0.00098639,          0.00098639
                   3,             0.08672,            0.055506,                   0,            0.061727,             0.32247,            0.047638,            0.012596,            0.066109,             0.10553,                   0,          0.00098515,          0.00098515,          0.00098515
                   4,            0.076522,            0.053809,                   0,             0.21914,             0.29336,             0.16216,            0.047362,            0.059696,            0.094308,                   0,          0.00098515,          0.00098515,          0.00098515
                   5,             0.07077,            0.051108,                   0,             0.28747,             0.35623,             0.23848,            0.073145,            0.055226,             0.09292,                   0,           0.0009802,           0.0009802,           0.0009802
                   6,             0.06796,            0.048508,                   0,             0.37259,             0.37056,             0.30635,            0.098716,             0.05529,            0.086961,                   0,          0.00097525,          0.00097525,          0.00097525
                   7,            0.064933,            0.044163,                   0,             0.38896,             0.38999,             0.33506,             0.11016,            0.052326,            0.087507,                   0,           0.0009703,           0.0009703,           0.0009703
                   8,            0.062904,             0.04416,                   0,             0.44725,             0.41444,             0.37881,             0.12989,            0.050707,            0.085785,                   0,          0.00096535,          0.00096535,          0.00096535
                   9,            0.062045,            0.044778,                   0,             0.45009,             0.43772,             0.38591,             0.13502,            0.050323,            0.085494,                   0,           0.0009604,           0.0009604,           0.0009604
                  10,            0.060428,            0.044491,                   0,             0.47922,             0.42142,             0.39956,             0.13786,            0.050042,            0.086035,                   0,          0.00095545,          0.00095545,          0.00095545
                  11,            0.059763,            0.044576,                   0,             0.44878,             0.44005,             0.40729,             0.13351,            0.049674,            0.083783,                   0,           0.0009505,           0.0009505,           0.0009505
                  12,            0.059467,            0.042704,                   0,             0.45681,             0.44121,             0.41863,             0.14317,            0.049667,            0.083897,                   0,          0.00094555,          0.00094555,          0.00094555
                  13,            0.057864,            0.041954,                   0,             0.47381,             0.43655,             0.43042,             0.15169,            0.048714,            0.083966,                   0,           0.0009406,           0.0009406,           0.0009406
                  14,            0.057264,            0.040199,                   0,             0.49324,             0.43423,             0.41475,              0.1398,            0.048294,            0.084176,                   0,          0.00093565,          0.00093565,          0.00093565
                  15,            0.056813,            0.042807,                   0,             0.52507,             0.43073,             0.42818,             0.15428,            0.048233,            0.085035,                   0,           0.0009307,           0.0009307,           0.0009307
                  16,            0.056022,             0.04245,                   0,             0.45704,             0.49593,             0.45094,             0.15949,            0.047835,            0.084061,                   0,          0.00092575,          0.00092575,          0.00092575
                  17,            0.055904,            0.043367,                   0,             0.48392,              0.4447,             0.43043,             0.15798,            0.048486,            0.083632,                   0,           0.0009208,           0.0009208,           0.0009208
                  18,            0.056321,            0.039749,                   0,             0.48906,             0.44795,             0.44704,              0.1657,            0.047922,             0.08361,                   0,          0.00091585,          0.00091585,          0.00091585
                  19,            0.055696,            0.041899,                   0,             0.53072,             0.41676,             0.45084,             0.16391,             0.04743,            0.084551,                   0,           0.0009109,           0.0009109,           0.0009109
                  20,            0.054884,            0.040631,                   0,             0.51093,             0.41676,             0.44635,             0.16003,            0.047425,            0.084196,                   0,          0.00090595,          0.00090595,          0.00090595
                  21,            0.054642,            0.037623,                   0,             0.48707,             0.42608,             0.43991,             0.15565,            0.049093,            0.083883,                   0,            0.000901,            0.000901,            0.000901
                  22,            0.052902,             0.03846,                   0,             0.47944,             0.42841,             0.43057,             0.15102,            0.048743,            0.082784,                   0,          0.00089605,          0.00089605,          0.00089605
                  23,             0.05475,            0.040814,                   0,             0.50373,             0.44587,              0.4505,             0.16512,            0.047129,            0.084249,                   0,           0.0008911,           0.0008911,           0.0008911
                  24,            0.052589,            0.038199,                   0,             0.51693,             0.43228,             0.45508,             0.16643,            0.047532,            0.084292,                   0,          0.00088615,          0.00088615,          0.00088615
                  25,            0.052375,            0.036328,                   0,              0.4638,             0.44237,             0.43603,             0.16061,            0.048813,            0.084107,                   0,           0.0008812,           0.0008812,           0.0008812
                  26,            0.052384,            0.037878,                   0,             0.46509,             0.45548,             0.44349,             0.16797,            0.047407,            0.084829,                   0,          0.00087625,          0.00087625,          0.00087625
                  27,            0.052113,            0.039481,                   0,             0.47007,             0.47846,             0.44366,             0.16175,            0.047605,            0.085061,                   0,           0.0008713,           0.0008713,           0.0008713
                  28,            0.050795,            0.039216,                   0,             0.44099,             0.45169,             0.42682,             0.14652,            0.048775,            0.084532,                   0,          0.00086635,          0.00086635,          0.00086635
                  29,             0.04974,            0.036109,                   0,             0.52306,              0.4319,             0.44459,             0.16591,            0.048429,            0.084539,                   0,           0.0008614,           0.0008614,           0.0008614
                  30,            0.050811,            0.037344,                   0,             0.52267,             0.42957,             0.45403,             0.16933,            0.047894,            0.085218,                   0,          0.00085645,          0.00085645,          0.00085645
                  31,            0.050713,            0.038778,                   0,             0.50884,             0.40644,             0.43306,             0.15664,            0.048599,            0.085606,                   0,           0.0008515,           0.0008515,           0.0008515
                  32,            0.049406,            0.035165,                   0,               0.454,             0.45169,             0.43041,             0.15513,            0.048009,            0.085973,                   0,          0.00084655,          0.00084655,          0.00084655
                  33,            0.050236,            0.035953,                   0,             0.44554,             0.48736,             0.43078,             0.15495,            0.047688,            0.086878,                   0,           0.0008416,           0.0008416,           0.0008416
                  34,            0.049376,            0.035549,                   0,             0.49228,             0.42142,             0.42316,             0.15015,            0.047567,            0.087645,                   0,          0.00083665,          0.00083665,          0.00083665
                  35,            0.049443,            0.036555,                   0,             0.43699,             0.42957,             0.41485,             0.14866,            0.049284,            0.086922,                   0,           0.0008317,           0.0008317,           0.0008317
                  36,            0.048492,            0.036766,                   0,             0.45253,             0.46566,             0.43515,             0.15878,            0.048775,            0.087832,                   0,          0.00082675,          0.00082675,          0.00082675
                  37,            0.047731,            0.034688,                   0,             0.44471,             0.45591,              0.4298,             0.15529,            0.048168,             0.08833,                   0,           0.0008218,           0.0008218,           0.0008218
                  38,             0.04763,            0.035735,                   0,             0.49696,              0.4319,             0.42469,             0.15024,            0.048162,            0.088689,                   0,          0.00081685,          0.00081685,          0.00081685
                  39,            0.046595,            0.033625,                   0,             0.46617,             0.45402,             0.43243,             0.16045,            0.047768,            0.088125,                   0,           0.0008119,           0.0008119,           0.0008119
                  40,            0.046984,            0.034717,                   0,             0.52032,             0.43539,             0.43652,             0.15827,            0.047972,            0.089095,                   0,          0.00080695,          0.00080695,          0.00080695
                  41,            0.045869,            0.033522,                   0,             0.51779,             0.41909,             0.42488,             0.15474,            0.047906,             0.08944,                   0,            0.000802,            0.000802,            0.000802
                  42,            0.044458,            0.034565,                   0,             0.48049,             0.41776,             0.42128,             0.15244,             0.04848,            0.091456,                   0,          0.00079705,          0.00079705,          0.00079705
                  43,            0.045719,            0.033846,                   0,             0.46453,             0.43772,             0.41349,             0.14812,            0.049009,            0.090547,                   0,           0.0007921,           0.0007921,           0.0007921
                  44,            0.044981,            0.034195,                   0,             0.48095,             0.42724,             0.40833,             0.14885,            0.048536,            0.091206,                   0,          0.00078715,          0.00078715,          0.00078715
                  45,            0.045396,            0.034974,                   0,             0.44504,             0.44121,             0.40563,              0.1535,            0.048209,            0.090481,                   0,           0.0007822,           0.0007822,           0.0007822
                  46,             0.04502,            0.031567,                   0,             0.46361,             0.43467,             0.41371,             0.15301,            0.048895,            0.091426,                   0,          0.00077725,          0.00077725,          0.00077725
                  47,            0.044608,            0.034273,                   0,             0.46654,             0.42862,             0.40674,             0.14246,             0.05005,            0.089505,                   0,           0.0007723,           0.0007723,           0.0007723
                  48,            0.045106,            0.034389,                   0,             0.48157,             0.43471,             0.39816,             0.14242,            0.049046,            0.091458,                   0,          0.00076735,          0.00076735,          0.00076735
                  49,            0.043676,            0.031094,                   0,             0.50463,              0.4156,             0.40953,             0.14276,            0.048787,             0.09568,                   0,           0.0007624,           0.0007624,           0.0007624
