               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075471,            0.062349,                   0,             0.34198,             0.32368,             0.23687,            0.076428,            0.056858,             0.10848,                   0,            0.067371,          0.00032959,          0.00032959
                   1,            0.065412,            0.049025,                   0,             0.38682,             0.40396,             0.31577,             0.10807,            0.051852,            0.093324,                   0,            0.034368,          0.00065964,          0.00065964
                   2,            0.061304,            0.043681,                   0,             0.43019,             0.42724,             0.36218,             0.12665,            0.049916,            0.089484,                   0,           0.0013609,          0.00098639,          0.00098639
                   3,            0.059396,            0.041421,                   0,               0.448,               0.428,             0.37682,             0.13908,            0.048754,            0.087017,                   0,          0.00098515,          0.00098515,          0.00098515
                   4,            0.057548,              0.0418,                   0,              0.4767,             0.46237,             0.41697,             0.15307,            0.048655,            0.085571,                   0,          0.00098515,          0.00098515,          0.00098515
                   5,            0.056709,            0.042365,                   0,             0.47584,             0.47381,             0.42999,             0.15832,            0.047753,            0.085664,                   0,           0.0009802,           0.0009802,           0.0009802
                   6,            0.056709,            0.041921,                   0,             0.48759,             0.43888,             0.42108,              0.1524,            0.049193,            0.084855,                   0,          0.00097525,          0.00097525,          0.00097525
                   7,            0.054118,            0.038136,                   0,             0.47886,             0.45033,             0.44096,             0.16509,            0.047893,            0.085266,                   0,           0.0009703,           0.0009703,           0.0009703
                   8,             0.05317,            0.039092,                   0,             0.46979,             0.46333,             0.43647,             0.16371,             0.04788,            0.085013,                   0,          0.00096535,          0.00096535,          0.00096535
                   9,            0.052875,            0.039532,                   0,             0.44467,             0.48428,             0.44153,             0.16655,            0.048201,            0.085239,                   0,           0.0009604,           0.0009604,           0.0009604
                  10,            0.052167,             0.03956,                   0,             0.47371,             0.45402,             0.43613,             0.16059,            0.048035,            0.085731,                   0,          0.00095545,          0.00095545,          0.00095545
                  11,            0.051117,            0.039757,                   0,             0.48239,             0.47497,             0.44688,             0.16377,            0.047823,            0.085171,                   0,           0.0009505,           0.0009505,           0.0009505
                  12,            0.050895,            0.038079,                   0,             0.49835,             0.43772,             0.43445,             0.16169,            0.047873,            0.085108,                   0,          0.00094555,          0.00094555,          0.00094555
                  13,            0.050005,            0.037279,                   0,             0.48109,             0.44703,             0.43368,             0.15613,            0.049179,            0.085838,                   0,           0.0009406,           0.0009406,           0.0009406
                  14,            0.049414,            0.035877,                   0,             0.48329,             0.45402,              0.4341,             0.15913,            0.047924,            0.087553,                   0,          0.00093565,          0.00093565,          0.00093565
                  15,            0.049259,             0.03778,                   0,             0.45037,             0.46799,             0.42534,             0.16014,            0.048042,            0.087433,                   0,           0.0009307,           0.0009307,           0.0009307
                  16,            0.047975,            0.037299,                   0,             0.47445,              0.4482,             0.42122,             0.15987,             0.04804,            0.088741,                   0,          0.00092575,          0.00092575,          0.00092575
                  17,            0.047571,            0.038137,                   0,             0.49002,             0.44354,                0.41,              0.1562,            0.048614,            0.088871,                   0,           0.0009208,           0.0009208,           0.0009208
                  18,            0.048011,            0.034995,                   0,             0.47409,             0.44005,             0.41573,             0.15741,            0.048556,            0.089604,                   0,          0.00091585,          0.00091585,          0.00091585
                  19,            0.047447,            0.036837,                   0,              0.4769,             0.43833,             0.42404,             0.15397,            0.049158,            0.089929,                   0,           0.0009109,           0.0009109,           0.0009109
                  20,            0.046517,            0.035209,                   0,             0.48403,              0.4319,             0.41061,             0.15059,            0.048933,            0.090196,                   0,          0.00090595,          0.00090595,          0.00090595
                  21,            0.046018,            0.032548,                   0,             0.48203,             0.41276,             0.40314,             0.14754,             0.04983,             0.09196,                   0,            0.000901,            0.000901,            0.000901
                  22,            0.044584,            0.033169,                   0,             0.49138,             0.44587,             0.40868,             0.15633,            0.049401,            0.090675,                   0,          0.00089605,          0.00089605,          0.00089605
                  23,            0.046376,            0.035436,                   0,             0.49211,             0.44667,             0.41178,              0.1536,            0.048735,            0.094378,                   0,           0.0008911,           0.0008911,           0.0008911
                  24,            0.044359,            0.032404,                   0,             0.47769,             0.44078,             0.40693,             0.15085,            0.050002,            0.092988,                   0,          0.00088615,          0.00088615,          0.00088615
                  25,             0.04386,            0.030467,                   0,             0.47269,              0.4289,             0.38548,             0.13963,            0.052012,            0.091855,                   0,           0.0008812,           0.0008812,           0.0008812
                  26,            0.043665,            0.031239,                   0,             0.49078,             0.45285,             0.40383,             0.14894,             0.04989,            0.093425,                   0,          0.00087625,          0.00087625,          0.00087625
                  27,            0.043301,            0.033171,                   0,             0.47588,             0.45052,             0.40653,             0.15249,            0.049917,            0.094479,                   0,           0.0008713,           0.0008713,           0.0008713
                  28,            0.042687,            0.032912,                   0,             0.49719,             0.42016,             0.39654,             0.14469,            0.050152,            0.094133,                   0,          0.00086635,          0.00086635,          0.00086635
                  29,            0.041736,            0.029899,                   0,             0.45667,             0.45518,             0.40791,             0.14859,            0.049126,            0.093564,                   0,           0.0008614,           0.0008614,           0.0008614
