               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10628,            0.085166,                   0,           0.0024468,             0.07321,           0.0014466,          0.00033574,            0.089587,             0.10571,                   0,            0.067262,          0.00033069,          0.00033069
                   1,            0.096782,            0.078522,                   0,            0.013972,             0.41804,            0.033864,           0.0086171,            0.080361,             0.10627,                   0,            0.034259,          0.00066073,          0.00066073
                   2,            0.084053,            0.071183,                   0,             0.23007,             0.29814,             0.15435,            0.041189,             0.06821,             0.10522,                   0,            0.001252,          0.00098748,          0.00098748
                   3,            0.072866,            0.067741,                   0,             0.37304,             0.32785,             0.28525,            0.096519,            0.059866,            0.090753,                   0,          0.00098515,          0.00098515,          0.00098515
                   4,            0.067368,            0.065534,                   0,             0.43214,             0.38568,             0.35917,             0.12234,             0.05546,            0.089285,                   0,          0.00098515,          0.00098515,          0.00098515
                   5,            0.063614,            0.063195,                   0,             0.44781,             0.41857,             0.38708,              0.1338,             0.05468,            0.087776,                   0,           0.0009802,           0.0009802,           0.0009802
                   6,            0.061355,            0.061878,                   0,             0.48336,             0.42189,             0.41271,             0.14529,             0.05288,            0.086287,                   0,          0.00097525,          0.00097525,          0.00097525
                   7,            0.059876,            0.062181,                   0,              0.4721,             0.45942,              0.4086,             0.13643,            0.052886,            0.086451,                   0,           0.0009703,           0.0009703,           0.0009703
                   8,            0.058974,            0.061552,                   0,             0.51617,             0.45782,             0.45299,             0.16465,            0.050962,            0.085421,                   0,          0.00096535,          0.00096535,          0.00096535
                   9,            0.058121,            0.061281,                   0,             0.52384,             0.45358,             0.45339,              0.1653,            0.050655,            0.085663,                   0,           0.0009604,           0.0009604,           0.0009604
                  10,            0.057294,              0.0591,                   0,             0.53695,             0.45836,             0.45093,             0.15413,            0.051556,            0.087066,                   0,          0.00095545,          0.00095545,          0.00095545
                  11,            0.056477,            0.058312,                   0,             0.55451,             0.47798,              0.4921,             0.18519,             0.04945,            0.083674,                   0,           0.0009505,           0.0009505,           0.0009505
                  12,             0.05529,            0.056034,                   0,              0.5616,             0.48183,             0.48922,              0.1834,            0.049154,            0.084682,                   0,          0.00094555,          0.00094555,          0.00094555
                  13,            0.055867,             0.05777,                   0,             0.55368,             0.47692,             0.48754,             0.18304,            0.049708,            0.082399,                   0,           0.0009406,           0.0009406,           0.0009406
                  14,            0.054866,             0.06241,                   0,             0.56165,             0.48397,             0.49106,             0.17413,             0.05087,            0.082327,                   0,          0.00093565,          0.00093565,          0.00093565
                  15,            0.054588,            0.055764,                   0,             0.55099,             0.49708,             0.49606,             0.19015,            0.048608,            0.083171,                   0,           0.0009307,           0.0009307,           0.0009307
                  16,            0.053599,            0.057865,                   0,             0.54797,             0.47586,             0.49414,             0.18391,            0.048978,            0.083266,                   0,          0.00092575,          0.00092575,          0.00092575
                  17,            0.052944,            0.055239,                   0,             0.55759,             0.49655,             0.49974,             0.19002,            0.048583,            0.082868,                   0,           0.0009208,           0.0009208,           0.0009208
                  18,            0.053615,            0.054748,                   0,             0.55644,             0.48382,             0.49162,             0.18023,            0.049127,             0.08297,                   0,          0.00091585,          0.00091585,          0.00091585
                  19,            0.052322,            0.054529,                   0,             0.58236,             0.48329,             0.51196,             0.19006,            0.048675,            0.082819,                   0,           0.0009109,           0.0009109,           0.0009109
                  20,            0.052274,            0.054671,                   0,             0.56276,             0.48223,             0.49371,             0.18846,            0.048876,            0.083635,                   0,          0.00090595,          0.00090595,          0.00090595
                  21,            0.052404,             0.05396,                   0,             0.57687,             0.48747,             0.50395,              0.1949,            0.048495,            0.082972,                   0,            0.000901,            0.000901,            0.000901
                  22,            0.050972,            0.055148,                   0,             0.55144,             0.49566,             0.49731,              0.1928,            0.048542,            0.083289,                   0,          0.00089605,          0.00089605,          0.00089605
                  23,            0.050652,            0.055433,                   0,             0.56277,             0.50256,             0.50066,             0.19053,            0.048518,            0.083774,                   0,           0.0008911,           0.0008911,           0.0008911
                  24,            0.051083,             0.05294,                   0,             0.57205,             0.48223,             0.50455,             0.19576,            0.048344,            0.082986,                   0,          0.00088615,          0.00088615,          0.00088615
