               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11649,            0.088468,                   0,           0.0015525,            0.033138,          0.00084135,          0.00021007,             0.10865,            0.068314,                   0,            0.067924,          0.00035676,          0.00035676
                   1,             0.10981,            0.088712,                   0,           0.0053425,             0.11404,           0.0051355,           0.0012438,             0.10264,            0.069297,                   0,            0.034954,          0.00072017,          0.00072017
                   2,             0.10595,            0.090507,                   0,             0.13699,             0.10916,            0.045909,            0.010245,             0.09474,            0.067553,                   0,           0.0019812,           0.0010803,           0.0010803
                   3,            0.099739,            0.082631,                   0,              0.1142,             0.22125,            0.067987,            0.014838,            0.086942,            0.076684,                   0,           0.0010852,           0.0010852,           0.0010852
                   4,             0.09083,            0.079399,                   0,             0.13097,             0.27485,            0.082079,            0.020639,            0.079588,            0.076456,                   0,           0.0010852,           0.0010852,           0.0010852
                   5,            0.085137,            0.075884,                   0,             0.24524,             0.34405,             0.17024,            0.045485,            0.074254,            0.075292,                   0,           0.0010802,           0.0010802,           0.0010802
                   6,            0.081442,            0.081434,                   0,             0.33456,             0.37719,              0.2566,            0.071744,            0.070859,            0.066881,                   0,           0.0010753,           0.0010753,           0.0010753
                   7,            0.076835,            0.067535,                   0,             0.32493,             0.38596,             0.25299,            0.074001,            0.067705,            0.059493,                   0,           0.0010703,           0.0010703,           0.0010703
                   8,            0.075852,            0.076726,                   0,             0.39039,             0.42203,             0.31595,            0.098065,            0.065447,             0.05962,                   0,           0.0010654,           0.0010654,           0.0010654
                   9,            0.073094,            0.075219,                   0,              0.4963,             0.41131,             0.39759,             0.12969,            0.061501,            0.060614,                   0,           0.0010604,           0.0010604,           0.0010604
                  10,            0.069495,            0.074954,                   0,             0.52172,             0.41326,             0.41662,             0.13552,            0.062054,            0.059608,                   0,           0.0010554,           0.0010554,           0.0010554
                  11,            0.068547,            0.077998,                   0,             0.56874,             0.40448,             0.43903,             0.14166,            0.061164,            0.057643,                   0,           0.0010505,           0.0010505,           0.0010505
                  12,            0.068758,            0.078674,                   0,             0.49717,             0.43762,              0.3906,             0.13357,            0.060231,            0.056824,                   0,           0.0010455,           0.0010455,           0.0010455
                  13,            0.067178,            0.075442,                   0,             0.51533,             0.44872,             0.44288,             0.16193,            0.059203,            0.054854,                   0,           0.0010406,           0.0010406,           0.0010406
                  14,             0.06487,            0.080878,                   0,             0.53774,              0.4728,             0.46482,              0.1621,            0.059612,            0.055383,                   0,           0.0010357,           0.0010357,           0.0010357
                  15,            0.064319,            0.070424,                   0,              0.5614,             0.48031,             0.48408,             0.18319,            0.057907,            0.053554,                   0,           0.0010307,           0.0010307,           0.0010307
                  16,            0.064702,            0.070715,                   0,             0.57509,             0.46784,             0.48049,               0.174,            0.058092,            0.054085,                   0,           0.0010257,           0.0010257,           0.0010257
                  17,             0.06363,            0.072837,                   0,             0.56096,             0.48442,             0.49011,             0.17858,             0.05727,            0.054098,                   0,           0.0010208,           0.0010208,           0.0010208
                  18,            0.064014,            0.073003,                   0,              0.5761,             0.49938,             0.50467,             0.17759,            0.057536,            0.054293,                   0,           0.0010158,           0.0010158,           0.0010158
                  19,            0.062886,            0.071195,                   0,             0.58852,              0.4922,             0.50397,             0.18314,            0.056961,            0.053624,                   0,           0.0010109,           0.0010109,           0.0010109
                  20,            0.061541,            0.075578,                   0,             0.60373,              0.5039,             0.51347,              0.1856,            0.057347,            0.053059,                   0,            0.001006,            0.001006,            0.001006
                  21,             0.06164,            0.073077,                   0,             0.60109,             0.49346,             0.51877,              0.1933,            0.055887,            0.052028,                   0,            0.001001,            0.001001,            0.001001
                  22,            0.061414,            0.071321,                   0,             0.61023,              0.4922,             0.51796,             0.19522,            0.055961,            0.052458,                   0,          0.00099605,          0.00099605,          0.00099605
                  23,            0.060189,            0.070096,                   0,             0.60332,                 0.5,             0.51804,             0.19569,            0.056168,             0.05304,                   0,           0.0009911,           0.0009911,           0.0009911
                  24,            0.061206,            0.075389,                   0,             0.60518,             0.50097,             0.51841,             0.19144,            0.055839,            0.052222,                   0,          0.00098615,          0.00098615,          0.00098615
                  25,            0.062054,            0.072537,                   0,             0.54006,             0.49708,             0.47233,             0.16896,            0.057545,            0.051565,                   0,           0.0009812,           0.0009812,           0.0009812
                  26,            0.061491,            0.078368,                   0,             0.64339,             0.50291,             0.52852,             0.19582,            0.055549,            0.052162,                   0,          0.00097625,          0.00097625,          0.00097625
                  27,            0.059462,            0.075951,                   0,             0.64399,             0.51365,             0.53733,             0.19912,            0.055145,            0.052091,                   0,           0.0009713,           0.0009713,           0.0009713
                  28,            0.058629,            0.068204,                   0,             0.59098,             0.53513,             0.53468,             0.20216,            0.055524,            0.051295,                   0,          0.00096635,          0.00096635,          0.00096635
                  29,            0.061111,            0.068066,                   0,             0.62256,             0.51559,             0.54068,             0.19892,            0.054782,            0.051687,                   0,           0.0009614,           0.0009614,           0.0009614
                  30,            0.059341,            0.066291,                   0,             0.60299,             0.52047,             0.52968,              0.2046,            0.054482,            0.051472,                   0,          0.00095645,          0.00095645,          0.00095645
                  31,            0.058165,            0.066862,                   0,             0.63019,             0.51321,             0.54342,             0.19782,            0.055028,            0.051378,                   0,           0.0009515,           0.0009515,           0.0009515
                  32,            0.059513,            0.071738,                   0,             0.63697,             0.50877,             0.53914,             0.20109,            0.055461,            0.051768,                   0,          0.00094655,          0.00094655,          0.00094655
                  33,            0.058963,            0.077117,                   0,              0.6394,             0.53119,             0.55418,             0.20791,            0.054871,            0.051615,                   0,           0.0009416,           0.0009416,           0.0009416
                  34,            0.058363,            0.080401,                   0,             0.62267,              0.5179,             0.55426,             0.20967,            0.054294,            0.051635,                   0,          0.00093665,          0.00093665,          0.00093665
                  35,            0.058482,            0.069121,                   0,             0.63098,              0.5117,              0.5432,             0.20761,            0.054133,            0.051355,                   0,           0.0009317,           0.0009317,           0.0009317
                  36,            0.057875,            0.069235,                   0,              0.6097,             0.51559,             0.53581,             0.19745,            0.054503,            0.051382,                   0,          0.00092675,          0.00092675,          0.00092675
                  37,            0.056293,             0.06723,                   0,             0.63054,             0.53895,             0.55963,             0.20838,            0.054401,            0.051152,                   0,           0.0009218,           0.0009218,           0.0009218
                  38,            0.058001,            0.079287,                   0,             0.63112,             0.53314,             0.55535,              0.2073,            0.054709,            0.051272,                   0,          0.00091685,          0.00091685,          0.00091685
                  39,            0.056353,             0.06916,                   0,             0.63274,             0.52924,             0.55802,             0.21448,            0.053831,            0.050861,                   0,           0.0009119,           0.0009119,           0.0009119
                  40,             0.05708,            0.069665,                   0,             0.62752,             0.53314,              0.5521,             0.20907,            0.054479,            0.051503,                   0,          0.00090695,          0.00090695,          0.00090695
